N,D,sigma,tau,omega,Cp*
3,3,0.72,0.1800,0.466667,0.480655
2,1,0.18,0.1800,0.533333,0.480582
4,2,0.18,0.1800,0.533333,0.480582
3,2,0.36,0.1500,0.400000,0.480535
3,4,0.72,0.1200,0.366667,0.480406
3,2,0.36,0.1200,0.466667,0.480046
2,1,0.26,0.1500,0.466667,0.479994
4,2,0.26,0.1500,0.466667,0.479994
2,1,0.36,0.1500,0.500000,0.479877
4,2,0.36,0.1500,0.500000,0.479877
3,4,0.36,0.1200,0.566667,0.479599
2,4,0.18,0.1800,0.566667,0.479301
3,4,0.36,0.1200,0.433333,0.47861
4,3,0.26,0.1200,0.466667,0.478608
3,4,0.18,0.1500,0.600000,0.478423
2,3,0.54,0.1800,0.400000,0.478161
2,2,0.26,0.1800,0.500000,0.477771
3,3,0.26,0.1800,0.500000,0.477771
4,4,0.26,0.1800,0.500000,0.477771
3,4,0.18,0.1200,0.466667,0.477434
3,1,0.72,0.2100,0.333333,0.477328
2,1,0.36,0.1800,0.466667,0.47722
4,2,0.36,0.1800,0.466667,0.47722
2,1,0.36,0.1200,0.566667,0.477102
4,2,0.36,0.1200,0.566667,0.477102
3,4,0.36,0.1800,0.466667,0.477056
2,3,0.36,0.1200,0.400000,0.477027
2,1,0.36,0.2100,0.500000,0.476733
4,2,0.36,0.2100,0.500000,0.476733
4,3,0.26,0.1200,0.500000,0.476691
3,4,0.36,0.1200,0.533333,0.476662
2,4,0.18,0.2100,0.566667,0.476463
4,3,0.18,0.1200,0.600000,0.476255
3,4,0.54,0.1500,0.366667,0.476161
3,4,0.26,0.1800,0.500000,0.475984
3,4,0.54,0.2100,0.400000,0.475967
2,3,0.36,0.1500,0.433333,0.475842
2,1,0.36,0.1500,0.433333,0.475836
4,2,0.36,0.1500,0.433333,0.475836
2,1,0.18,0.1200,0.566667,0.475805
4,2,0.18,0.1200,0.566667,0.475805
3,4,0.36,0.1200,0.466667,0.475662
2,2,0.18,0.1800,0.566667,0.475538
3,3,0.18,0.1800,0.566667,0.475538
4,4,0.18,0.1800,0.566667,0.475538
2,1,0.36,0.1500,0.466667,0.47543
3,4,0.54,0.1500,0.366667,0.47543
4,2,0.36,0.1800,0.466667,0.47543
2,1,0.36,0.1800,0.433333,0.475303
4,2,0.36,0.1800,0.433333,0.475303
3,2,0.36,0.2100,0.366667,0.474968
2,1,0.54,0.1500,0.600000,0.474884
2,3,0.18,0.1500,0.600000,0.474884
2,3,0.36,0.1800,0.433333,0.47483
3,3,0.54,0.1800,0.433333,0.47483
3,2,0.26,0.1500,0.500000,0.474145
4,1,0.18,0.1500,0.566667,0.474131
3,4,0.36,0.1200,0.500000,0.473968
2,3,0.18,0.2100,0.566667,0.473961
2,4,0.26,0.1200,0.500000,0.473773
3,4,0.36,0.1800,0.333333,0.473533
2,3,0.36,0.1500,0.533333,0.473253
2,3,0.54,0.1500,0.400000,0.473244
4,1,0.18,0.2100,0.433333,0.473227
4,1,0.26,0.1500,0.466667,0.473112
2,3,0.36,0.1500,0.500000,0.473025
4,3,0.36,0.2100,0.500000,0.472798
2,3,0.36,0.1500,0.566667,0.47275
4,3,0.26,0.2100,0.466667,0.472735
2,1,0.36,0.2100,0.466667,0.472692
4,2,0.36,0.2100,0.466667,0.472692
2,3,0.26,0.1800,0.500000,0.472687
3,4,0.36,0.2100,0.433333,0.472507
4,1,0.18,0.1500,0.466667,0.472326
2,3,0.54,0.1500,0.433333,0.472316
3,4,0.18,0.2100,0.566667,0.472152
2,2,0.26,0.1200,0.533333,0.471892
3,3,0.26,0.1200,0.533333,0.471892
4,4,0.26,0.1200,0.533333,0.471892
2,3,0.36,0.2100,0.333333,0.471852
3,2,0.18,0.1200,0.533333,0.471812
2,1,0.36,0.2100,0.400000,0.471798
4,2,0.36,0.2100,0.400000,0.471798
2,3,0.36,0.1200,0.433333,0.471649
3,4,0.26,0.1200,0.533333,0.471551
2,3,0.36,0.1500,0.466667,0.471403
2,2,0.18,0.1500,0.600000,0.471346
3,3,0.18,0.1500,0.600000,0.471346
4,4,0.18,0.1500,0.600000,0.471346
3,3,0.72,0.1800,0.333333,0.471336
2,3,0.54,0.1200,0.433333,0.471306
3,3,0.72,0.1800,0.400000,0.471301
2,2,0.36,0.1800,0.333333,0.471272
3,3,0.36,0.1800,0.333333,0.471272
4,4,0.36,0.1800,0.333333,0.471272
2,2,0.36,0.2100,0.466667,0.470984
3,3,0.36,0.2100,0.466667,0.470984
4,4,0.36,0.2100,0.466667,0.470984
3,2,0.18,0.1800,0.533333,0.470829
3,4,0.54,0.2100,0.433333,0.470776
3,4,0.18,0.1200,0.633333,0.470687
3,1,0.26,0.1500,0.466667,0.470513
2,2,0.26,0.1500,0.533333,0.469921
3,3,0.26,0.1500,0.533333,0.469921
4,4,0.26,0.1500,0.533333,0.469921
2,1,0.36,0.2100,0.433333,0.469758
4,2,0.36,0.2100,0.433333,0.469758
2,3,0.26,0.1200,0.533333,0.469359
3,1,0.18,0.1500,0.566667,0.469027
2,3,0.26,0.2100,0.500000,0.468956
3,2,0.36,0.2100,0.533333,0.468859
3,2,0.26,0.1200,0.500000,0.468664
3,4,0.36,0.1800,0.500000,0.468545
2,4,0.36,0.1500,0.400000,0.467836
3,2,0.36,0.1200,0.433333,0.467834
3,4,0.54,0.2100,0.366667,0.46775
3,4,0.26,0.2100,0.500000,0.467345
2,4,0.36,0.2100,0.400000,0.467222
2,3,0.36,0.1200,0.466667,0.467121
3,4,0.26,0.1500,0.533333,0.466908
2,4,0.18,0.1500,0.600000,0.466787
3,2,0.36,0.1800,0.366667,0.466637
3,4,0.72,0.1500,0.333333,0.466209
2,3,0.18,0.1200,0.633333,0.465982
3,2,0.18,0.1200,0.566667,0.46593
2,4,0.36,0.1800,0.400000,0.465834
2,1,0.26,0.1800,0.466667,0.465777
4,2,0.26,0.1800,0.466667,0.465777
